"column_name","family","tenor","wing","form","base_column","units","description","formula"
"chg_d_iv_7d_25c","iv","7d","25c","chg_d","iv_7d_25c","vol_decimal","Daily change of iv_7d_25c (snapshot-aligned)","iv_7d_25c_t - iv_7d_25c_{t-1td, same quote_time}"
"chg_1w_iv_7d_25c","iv","7d","25c","chg_1w","iv_7d_25c","vol_decimal","Weekly (5td) change of iv_7d_25c (snapshot-aligned)","iv_7d_25c_t - iv_7d_25c_{t-5td, same quote_time}"
"z_iv_7d_10c","iv","7d","10c","z","iv_7d_10c","z_score","63-trading-day rolling z-score of iv_7d_10c (snapshot-aligned)","(iv_7d_10c_t - μ) / σ over last 63td at same quote_time"
"chg_d_iv_7d_10c","iv","7d","10c","chg_d","iv_7d_10c","vol_decimal","Daily change of iv_7d_10c (snapshot-aligned)","iv_7d_10c_t - iv_7d_10c_{t-1td, same quote_time}"
"chg_1w_iv_7d_10c","iv","7d","10c","chg_1w","iv_7d_10c","vol_decimal","Weekly (5td) change of iv_7d_10c (snapshot-aligned)","iv_7d_10c_t - iv_7d_10c_{t-5td, same quote_time}"
"z_iv_30d_10p","iv","30d","10p","z","iv_30d_10p","z_score","63-trading-day rolling z-score of iv_30d_10p (snapshot-aligned)","(iv_30d_10p_t - μ) / σ over last 63td at same quote_time"
"chg_d_iv_30d_10p","iv","30d","10p","chg_d","iv_30d_10p","vol_decimal","Daily change of iv_30d_10p (snapshot-aligned)","iv_30d_10p_t - iv_30d_10p_{t-1td, same quote_time}"
"chg_1w_iv_30d_10p","iv","30d","10p","chg_1w","iv_30d_10p","vol_decimal","Weekly (5td) change of iv_30d_10p (snapshot-aligned)","iv_30d_10p_t - iv_30d_10p_{t-5td, same quote_time}"
"z_iv_30d_25p","iv","30d","25p","z","iv_30d_25p","z_score","63-trading-day rolling z-score of iv_30d_25p (snapshot-aligned)","(iv_30d_25p_t - μ) / σ over last 63td at same quote_time"
"chg_d_iv_30d_25p","iv","30d","25p","chg_d","iv_30d_25p","vol_decimal","Daily change of iv_30d_25p (snapshot-aligned)","iv_30d_25p_t - iv_30d_25p_{t-1td, same quote_time}"
"chg_1w_iv_30d_25p","iv","30d","25p","chg_1w","iv_30d_25p","vol_decimal","Weekly (5td) change of iv_30d_25p (snapshot-aligned)","iv_30d_25p_t - iv_30d_25p_{t-5td, same quote_time}"
"z_iv_30d_atm","iv","30d","atm","z","iv_30d_atm","z_score","63-trading-day rolling z-score of iv_30d_atm (snapshot-aligned)","(iv_30d_atm_t - μ) / σ over last 63td at same quote_time"
"chg_d_iv_30d_atm","iv","30d","atm","chg_d","iv_30d_atm","vol_decimal","Daily change of iv_30d_atm (snapshot-aligned)","iv_30d_atm_t - iv_30d_atm_{t-1td, same quote_time}"
"chg_1w_iv_30d_atm","iv","30d","atm","chg_1w","iv_30d_atm","vol_decimal","Weekly (5td) change of iv_30d_atm (snapshot-aligned)","iv_30d_atm_t - iv_30d_atm_{t-5td, same quote_time}"
"z_iv_30d_25c","iv","30d","25c","z","iv_30d_25c","z_score","63-trading-day rolling z-score of iv_30d_25c (snapshot-aligned)","(iv_30d_25c_t - μ) / σ over last 63td at same quote_time"
"chg_d_iv_30d_25c","iv","30d","25c","chg_d","iv_30d_25c","vol_decimal","Daily change of iv_30d_25c (snapshot-aligned)","iv_30d_25c_t - iv_30d_25c_{t-1td, same quote_time}"
"chg_1w_iv_30d_25c","iv","30d","25c","chg_1w","iv_30d_25c","vol_decimal","Weekly (5td) change of iv_30d_25c (snapshot-aligned)","iv_30d_25c_t - iv_30d_25c_{t-5td, same quote_time}"
"z_iv_30d_10c","iv","30d","10c","z","iv_30d_10c","z_score","63-trading-day rolling z-score of iv_30d_10c (snapshot-aligned)","(iv_30d_10c_t - μ) / σ over last 63td at same quote_time"
"chg_d_iv_30d_10c","iv","30d","10c","chg_d","iv_30d_10c","vol_decimal","Daily change of iv_30d_10c (snapshot-aligned)","iv_30d_10c_t - iv_30d_10c_{t-1td, same quote_time}"
"chg_1w_iv_30d_10c","iv","30d","10c","chg_1w","iv_30d_10c","vol_decimal","Weekly (5td) change of iv_30d_10c (snapshot-aligned)","iv_30d_10c_t - iv_30d_10c_{t-5td, same quote_time}"
"z_iv_90d_10p","iv","90d","10p","z","iv_90d_10p","z_score","63-trading-day rolling z-score of iv_90d_10p (snapshot-aligned)","(iv_90d_10p_t - μ) / σ over last 63td at same quote_time"
"chg_d_iv_90d_10p","iv","90d","10p","chg_d","iv_90d_10p","vol_decimal","Daily change of iv_90d_10p (snapshot-aligned)","iv_90d_10p_t - iv_90d_10p_{t-1td, same quote_time}"
"chg_1w_iv_90d_10p","iv","90d","10p","chg_1w","iv_90d_10p","vol_decimal","Weekly (5td) change of iv_90d_10p (snapshot-aligned)","iv_90d_10p_t - iv_90d_10p_{t-5td, same quote_time}"
"z_iv_90d_25p","iv","90d","25p","z","iv_90d_25p","z_score","63-trading-day rolling z-score of iv_90d_25p (snapshot-aligned)","(iv_90d_25p_t - μ) / σ over last 63td at same quote_time"
"chg_d_iv_90d_25p","iv","90d","25p","chg_d","iv_90d_25p","vol_decimal","Daily change of iv_90d_25p (snapshot-aligned)","iv_90d_25p_t - iv_90d_25p_{t-1td, same quote_time}"
"chg_1w_iv_90d_25p","iv","90d","25p","chg_1w","iv_90d_25p","vol_decimal","Weekly (5td) change of iv_90d_25p (snapshot-aligned)","iv_90d_25p_t - iv_90d_25p_{t-5td, same quote_time}"
"z_iv_90d_atm","iv","90d","atm","z","iv_90d_atm","z_score","63-trading-day rolling z-score of iv_90d_atm (snapshot-aligned)","(iv_90d_atm_t - μ) / σ over last 63td at same quote_time"
"chg_d_iv_90d_atm","iv","90d","atm","chg_d","iv_90d_atm","vol_decimal","Daily change of iv_90d_atm (snapshot-aligned)","iv_90d_atm_t - iv_90d_atm_{t-1td, same quote_time}"
"chg_1w_iv_90d_atm","iv","90d","atm","chg_1w","iv_90d_atm","vol_decimal","Weekly (5td) change of iv_90d_atm (snapshot-aligned)","iv_90d_atm_t - iv_90d_atm_{t-5td, same quote_time}"
"z_iv_90d_25c","iv","90d","25c","z","iv_90d_25c","z_score","63-trading-day rolling z-score of iv_90d_25c (snapshot-aligned)","(iv_90d_25c_t - μ) / σ over last 63td at same quote_time"
"chg_d_iv_90d_25c","iv","90d","25c","chg_d","iv_90d_25c","vol_decimal","Daily change of iv_90d_25c (snapshot-aligned)","iv_90d_25c_t - iv_90d_25c_{t-1td, same quote_time}"
"chg_1w_iv_90d_25c","iv","90d","25c","chg_1w","iv_90d_25c","vol_decimal","Weekly (5td) change of iv_90d_25c (snapshot-aligned)","iv_90d_25c_t - iv_90d_25c_{t-5td, same quote_time}"
"z_iv_90d_10c","iv","90d","10c","z","iv_90d_10c","z_score","63-trading-day rolling z-score of iv_90d_10c (snapshot-aligned)","(iv_90d_10c_t - μ) / σ over last 63td at same quote_time"
"chg_d_iv_90d_10c","iv","90d","10c","chg_d","iv_90d_10c","vol_decimal","Daily change of iv_90d_10c (snapshot-aligned)","iv_90d_10c_t - iv_90d_10c_{t-1td, same quote_time}"
"chg_1w_iv_90d_10c","iv","90d","10c","chg_1w","iv_90d_10c","vol_decimal","Weekly (5td) change of iv_90d_10c (snapshot-aligned)","iv_90d_10c_t - iv_90d_10c_{t-5td, same quote_time}"
"z_iv_180d_10p","iv","180d","10p","z","iv_180d_10p","z_score","63-trading-day rolling z-score of iv_180d_10p (snapshot-aligned)","(iv_180d_10p_t - μ) / σ over last 63td at same quote_time"
"chg_d_iv_180d_10p","iv","180d","10p","chg_d","iv_180d_10p","vol_decimal","Daily change of iv_180d_10p (snapshot-aligned)","iv_180d_10p_t - iv_180d_10p_{t-1td, same quote_time}"
"chg_1w_iv_180d_10p","iv","180d","10p","chg_1w","iv_180d_10p","vol_decimal","Weekly (5td) change of iv_180d_10p (snapshot-aligned)","iv_180d_10p_t - iv_180d_10p_{t-5td, same quote_time}"
"z_iv_180d_25p","iv","180d","25p","z","iv_180d_25p","z_score","63-trading-day rolling z-score of iv_180d_25p (snapshot-aligned)","(iv_180d_25p_t - μ) / σ over last 63td at same quote_time"
"chg_d_iv_180d_25p","iv","180d","25p","chg_d","iv_180d_25p","vol_decimal","Daily change of iv_180d_25p (snapshot-aligned)","iv_180d_25p_t - iv_180d_25p_{t-1td, same quote_time}"
"chg_1w_iv_180d_25p","iv","180d","25p","chg_1w","iv_180d_25p","vol_decimal","Weekly (5td) change of iv_180d_25p (snapshot-aligned)","iv_180d_25p_t - iv_180d_25p_{t-5td, same quote_time}"
"z_iv_180d_atm","iv","180d","atm","z","iv_180d_atm","z_score","63-trading-day rolling z-score of iv_180d_atm (snapshot-aligned)","(iv_180d_atm_t - μ) / σ over last 63td at same quote_time"
"chg_d_iv_180d_atm","iv","180d","atm","chg_d","iv_180d_atm","vol_decimal","Daily change of iv_180d_atm (snapshot-aligned)","iv_180d_atm_t - iv_180d_atm_{t-1td, same quote_time}"
"chg_1w_iv_180d_atm","iv","180d","atm","chg_1w","iv_180d_atm","vol_decimal","Weekly (5td) change of iv_180d_atm (snapshot-aligned)","iv_180d_atm_t - iv_180d_atm_{t-5td, same quote_time}"
"z_iv_180d_25c","iv","180d","25c","z","iv_180d_25c","z_score","63-trading-day rolling z-score of iv_180d_25c (snapshot-aligned)","(iv_180d_25c_t - μ) / σ over last 63td at same quote_time"
"chg_d_iv_180d_25c","iv","180d","25c","chg_d","iv_180d_25c","vol_decimal","Daily change of iv_180d_25c (snapshot-aligned)","iv_180d_25c_t - iv_180d_25c_{t-1td, same quote_time}"
"chg_1w_iv_180d_25c","iv","180d","25c","chg_1w","iv_180d_25c","vol_decimal","Weekly (5td) change of iv_180d_25c (snapshot-aligned)","iv_180d_25c_t - iv_180d_25c_{t-5td, same quote_time}"
"z_iv_180d_10c","iv","180d","10c","z","iv_180d_10c","z_score","63-trading-day rolling z-score of iv_180d_10c (snapshot-aligned)","(iv_180d_10c_t - μ) / σ over last 63td at same quote_time"
"chg_d_iv_180d_10c","iv","180d","10c","chg_d","iv_180d_10c","vol_decimal","Daily change of iv_180d_10c (snapshot-aligned)","iv_180d_10c_t - iv_180d_10c_{t-1td, same quote_time}"
"chg_1w_iv_180d_10c","iv","180d","10c","chg_1w","iv_180d_10c","vol_decimal","Weekly (5td) change of iv_180d_10c (snapshot-aligned)","iv_180d_10c_t - iv_180d_10c_{t-5td, same quote_time}"
"z_vix_1d","vix","1d",NULL,"z","vix_1d","z_score","63-trading-day rolling z-score of vix_1d (snapshot-aligned)","(vix_1d_t - μ) / σ over last 63td at same quote_time"
"chg_d_vix_1d","vix","1d",NULL,"chg_d","vix_1d","vol_decimal","Daily change of vix_1d (snapshot-aligned)","vix_1d_t - vix_1d_{t-1td, same quote_time}"
"chg_1w_vix_1d","vix","1d",NULL,"chg_1w","vix_1d","vol_decimal","Weekly (5td) change of vix_1d (snapshot-aligned)","vix_1d_t - vix_1d_{t-5td, same quote_time}"
"z_vix_7d","vix","7d",NULL,"z","vix_7d","z_score","63-trading-day rolling z-score of vix_7d (snapshot-aligned)","(vix_7d_t - μ) / σ over last 63td at same quote_time"
"chg_d_vix_7d","vix","7d",NULL,"chg_d","vix_7d","vol_decimal","Daily change of vix_7d (snapshot-aligned)","vix_7d_t - vix_7d_{t-1td, same quote_time}"
"chg_1w_vix_7d","vix","7d",NULL,"chg_1w","vix_7d","vol_decimal","Weekly (5td) change of vix_7d (snapshot-aligned)","vix_7d_t - vix_7d_{t-5td, same quote_time}"
"z_vix_30d","vix","30d",NULL,"z","vix_30d","z_score","63-trading-day rolling z-score of vix_30d (snapshot-aligned)","(vix_30d_t - μ) / σ over last 63td at same quote_time"
"chg_d_vix_30d","vix","30d",NULL,"chg_d","vix_30d","vol_decimal","Daily change of vix_30d (snapshot-aligned)","vix_30d_t - vix_30d_{t-1td, same quote_time}"
"chg_1w_vix_30d","vix","30d",NULL,"chg_1w","vix_30d","vol_decimal","Weekly (5td) change of vix_30d (snapshot-aligned)","vix_30d_t - vix_30d_{t-5td, same quote_time}"
"z_vix_90d","vix","90d",NULL,"z","vix_90d","z_score","63-trading-day rolling z-score of vix_90d (snapshot-aligned)","(vix_90d_t - μ) / σ over last 63td at same quote_time"
"chg_d_vix_90d","vix","90d",NULL,"chg_d","vix_90d","vol_decimal","Daily change of vix_90d (snapshot-aligned)","vix_90d_t - vix_90d_{t-1td, same quote_time}"
"chg_1w_vix_90d","vix","90d",NULL,"chg_1w","vix_90d","vol_decimal","Weekly (5td) change of vix_90d (snapshot-aligned)","vix_90d_t - vix_90d_{t-5td, same quote_time}"
"z_vix_180d","vix","180d",NULL,"z","vix_180d","z_score","63-trading-day rolling z-score of vix_180d (snapshot-aligned)","(vix_180d_t - μ) / σ over last 63td at same quote_time"
"chg_d_vix_180d","vix","180d",NULL,"chg_d","vix_180d","vol_decimal","Daily change of vix_180d (snapshot-aligned)","vix_180d_t - vix_180d_{t-1td, same quote_time}"
"chg_1w_vix_180d","vix","180d",NULL,"chg_1w","vix_180d","vol_decimal","Weekly (5td) change of vix_180d (snapshot-aligned)","vix_180d_t - vix_180d_{t-5td, same quote_time}"
"z_term_ratio_1d_7d","term_ratio","1d_7d",NULL,"z","term_ratio_1d_7d","z_score","63-trading-day rolling z-score of term_ratio_1d_7d (snapshot-aligned)","(term_ratio_1d_7d_t - μ) / σ over last 63td at same quote_time"
"chg_d_term_ratio_1d_7d","term_ratio","1d_7d",NULL,"chg_d","term_ratio_1d_7d","ratio","Daily change of term_ratio_1d_7d (snapshot-aligned)","term_ratio_1d_7d_t - term_ratio_1d_7d_{t-1td, same quote_time}"
"chg_1w_term_ratio_1d_7d","term_ratio","1d_7d",NULL,"chg_1w","term_ratio_1d_7d","ratio","Weekly (5td) change of term_ratio_1d_7d (snapshot-aligned)","term_ratio_1d_7d_t - term_ratio_1d_7d_{t-5td, same quote_time}"
"z_term_ratio_7d_30d","term_ratio","7d_30d",NULL,"z","term_ratio_7d_30d","z_score","63-trading-day rolling z-score of term_ratio_7d_30d (snapshot-aligned)","(term_ratio_7d_30d_t - μ) / σ over last 63td at same quote_time"
"chg_d_term_ratio_7d_30d","term_ratio","7d_30d",NULL,"chg_d","term_ratio_7d_30d","ratio","Daily change of term_ratio_7d_30d (snapshot-aligned)","term_ratio_7d_30d_t - term_ratio_7d_30d_{t-1td, same quote_time}"
"chg_1w_term_ratio_7d_30d","term_ratio","7d_30d",NULL,"chg_1w","term_ratio_7d_30d","ratio","Weekly (5td) change of term_ratio_7d_30d (snapshot-aligned)","term_ratio_7d_30d_t - term_ratio_7d_30d_{t-5td, same quote_time}"
"z_term_ratio_30d_90d","term_ratio","30d_90d",NULL,"z","term_ratio_30d_90d","z_score","63-trading-day rolling z-score of term_ratio_30d_90d (snapshot-aligned)","(term_ratio_30d_90d_t - μ) / σ over last 63td at same quote_time"
"chg_d_term_ratio_30d_90d","term_ratio","30d_90d",NULL,"chg_d","term_ratio_30d_90d","ratio","Daily change of term_ratio_30d_90d (snapshot-aligned)","term_ratio_30d_90d_t - term_ratio_30d_90d_{t-1td, same quote_time}"
"chg_1w_term_ratio_30d_90d","term_ratio","30d_90d",NULL,"chg_1w","term_ratio_30d_90d","ratio","Weekly (5td) change of term_ratio_30d_90d (snapshot-aligned)","term_ratio_30d_90d_t - term_ratio_30d_90d_{t-5td, same quote_time}"
"z_skew_1d_10p_25p","skew","1d","10p_25p","z","skew_1d_10p_25p","z_score","63-trading-day rolling z-score of skew_1d_10p_25p (snapshot-aligned)","(skew_1d_10p_25p_t - μ) / σ over last 63td at same quote_time"
"chg_d_skew_1d_10p_25p","skew","1d","10p_25p","chg_d","skew_1d_10p_25p","slope","Daily change of skew_1d_10p_25p (snapshot-aligned)","skew_1d_10p_25p_t - skew_1d_10p_25p_{t-1td, same quote_time}"
"chg_1w_skew_1d_10p_25p","skew","1d","10p_25p","chg_1w","skew_1d_10p_25p","slope","Weekly (5td) change of skew_1d_10p_25p (snapshot-aligned)","skew_1d_10p_25p_t - skew_1d_10p_25p_{t-5td, same quote_time}"
"z_skew_1d_25p_atm","skew","1d","25p_atm","z","skew_1d_25p_atm","z_score","63-trading-day rolling z-score of skew_1d_25p_atm (snapshot-aligned)","(skew_1d_25p_atm_t - μ) / σ over last 63td at same quote_time"
"chg_d_skew_1d_25p_atm","skew","1d","25p_atm","chg_d","skew_1d_25p_atm","slope","Daily change of skew_1d_25p_atm (snapshot-aligned)","skew_1d_25p_atm_t - skew_1d_25p_atm_{t-1td, same quote_time}"
"chg_1w_skew_1d_25p_atm","skew","1d","25p_atm","chg_1w","skew_1d_25p_atm","slope","Weekly (5td) change of skew_1d_25p_atm (snapshot-aligned)","skew_1d_25p_atm_t - skew_1d_25p_atm_{t-5td, same quote_time}"
"z_skew_1d_10p_atm","skew","1d","10p_atm","z","skew_1d_10p_atm","z_score","63-trading-day rolling z-score of skew_1d_10p_atm (snapshot-aligned)","(skew_1d_10p_atm_t - μ) / σ over last 63td at same quote_time"
"chg_d_skew_1d_10p_atm","skew","1d","10p_atm","chg_d","skew_1d_10p_atm","slope","Daily change of skew_1d_10p_atm (snapshot-aligned)","skew_1d_10p_atm_t - skew_1d_10p_atm_{t-1td, same quote_time}"
"chg_1w_skew_1d_10p_atm","skew","1d","10p_atm","chg_1w","skew_1d_10p_atm","slope","Weekly (5td) change of skew_1d_10p_atm (snapshot-aligned)","skew_1d_10p_atm_t - skew_1d_10p_atm_{t-5td, same quote_time}"
"z_skew_1d_atm_25c","skew","1d","atm_25c","z","skew_1d_atm_25c","z_score","63-trading-day rolling z-score of skew_1d_atm_25c (snapshot-aligned)","(skew_1d_atm_25c_t - μ) / σ over last 63td at same quote_time"
"chg_d_skew_1d_atm_25c","skew","1d","atm_25c","chg_d","skew_1d_atm_25c","slope","Daily change of skew_1d_atm_25c (snapshot-aligned)","skew_1d_atm_25c_t - skew_1d_atm_25c_{t-1td, same quote_time}"
"chg_1w_skew_1d_atm_25c","skew","1d","atm_25c","chg_1w","skew_1d_atm_25c","slope","Weekly (5td) change of skew_1d_atm_25c (snapshot-aligned)","skew_1d_atm_25c_t - skew_1d_atm_25c_{t-5td, same quote_time}"
"z_skew_1d_atm_10c","skew","1d","atm_10c","z","skew_1d_atm_10c","z_score","63-trading-day rolling z-score of skew_1d_atm_10c (snapshot-aligned)","(skew_1d_atm_10c_t - μ) / σ over last 63td at same quote_time"
"chg_d_skew_1d_atm_10c","skew","1d","atm_10c","chg_d","skew_1d_atm_10c","slope","Daily change of skew_1d_atm_10c (snapshot-aligned)","skew_1d_atm_10c_t - skew_1d_atm_10c_{t-1td, same quote_time}"
"chg_1w_skew_1d_atm_10c","skew","1d","atm_10c","chg_1w","skew_1d_atm_10c","slope","Weekly (5td) change of skew_1d_atm_10c (snapshot-aligned)","skew_1d_atm_10c_t - skew_1d_atm_10c_{t-5td, same quote_time}"
"z_skew_1d_25p_25c","skew","1d","25p_25c","z","skew_1d_25p_25c","z_score","63-trading-day rolling z-score of skew_1d_25p_25c (snapshot-aligned)","(skew_1d_25p_25c_t - μ) / σ over last 63td at same quote_time"
"chg_d_skew_1d_25p_25c","skew","1d","25p_25c","chg_d","skew_1d_25p_25c","slope","Daily change of skew_1d_25p_25c (snapshot-aligned)","skew_1d_25p_25c_t - skew_1d_25p_25c_{t-1td, same quote_time}"
"chg_1w_skew_1d_25p_25c","skew","1d","25p_25c","chg_1w","skew_1d_25p_25c","slope","Weekly (5td) change of skew_1d_25p_25c (snapshot-aligned)","skew_1d_25p_25c_t - skew_1d_25p_25c_{t-5td, same quote_time}"
"z_skew_7d_10p_25p","skew","7d","10p_25p","z","skew_7d_10p_25p","z_score","63-trading-day rolling z-score of skew_7d_10p_25p (snapshot-aligned)","(skew_7d_10p_25p_t - μ) / σ over last 63td at same quote_time"
"chg_d_skew_7d_10p_25p","skew","7d","10p_25p","chg_d","skew_7d_10p_25p","slope","Daily change of skew_7d_10p_25p (snapshot-aligned)","skew_7d_10p_25p_t - skew_7d_10p_25p_{t-1td, same quote_time}"
"chg_1w_skew_7d_10p_25p","skew","7d","10p_25p","chg_1w","skew_7d_10p_25p","slope","Weekly (5td) change of skew_7d_10p_25p (snapshot-aligned)","skew_7d_10p_25p_t - skew_7d_10p_25p_{t-5td, same quote_time}"
"z_skew_7d_25p_atm","skew","7d","25p_atm","z","skew_7d_25p_atm","z_score","63-trading-day rolling z-score of skew_7d_25p_atm (snapshot-aligned)","(skew_7d_25p_atm_t - μ) / σ over last 63td at same quote_time"
"chg_d_skew_7d_25p_atm","skew","7d","25p_atm","chg_d","skew_7d_25p_atm","slope","Daily change of skew_7d_25p_atm (snapshot-aligned)","skew_7d_25p_atm_t - skew_7d_25p_atm_{t-1td, same quote_time}"
"chg_1w_skew_7d_25p_atm","skew","7d","25p_atm","chg_1w","skew_7d_25p_atm","slope","Weekly (5td) change of skew_7d_25p_atm (snapshot-aligned)","skew_7d_25p_atm_t - skew_7d_25p_atm_{t-5td, same quote_time}"
"z_skew_7d_10p_atm","skew","7d","10p_atm","z","skew_7d_10p_atm","z_score","63-trading-day rolling z-score of skew_7d_10p_atm (snapshot-aligned)","(skew_7d_10p_atm_t - μ) / σ over last 63td at same quote_time"
"chg_d_skew_7d_10p_atm","skew","7d","10p_atm","chg_d","skew_7d_10p_atm","slope","Daily change of skew_7d_10p_atm (snapshot-aligned)","skew_7d_10p_atm_t - skew_7d_10p_atm_{t-1td, same quote_time}"
"chg_1w_skew_7d_10p_atm","skew","7d","10p_atm","chg_1w","skew_7d_10p_atm","slope","Weekly (5td) change of skew_7d_10p_atm (snapshot-aligned)","skew_7d_10p_atm_t - skew_7d_10p_atm_{t-5td, same quote_time}"
"z_skew_7d_atm_25c","skew","7d","atm_25c","z","skew_7d_atm_25c","z_score","63-trading-day rolling z-score of skew_7d_atm_25c (snapshot-aligned)","(skew_7d_atm_25c_t - μ) / σ over last 63td at same quote_time"
"chg_d_skew_7d_atm_25c","skew","7d","atm_25c","chg_d","skew_7d_atm_25c","slope","Daily change of skew_7d_atm_25c (snapshot-aligned)","skew_7d_atm_25c_t - skew_7d_atm_25c_{t-1td, same quote_time}"
"chg_1w_skew_7d_atm_25c","skew","7d","atm_25c","chg_1w","skew_7d_atm_25c","slope","Weekly (5td) change of skew_7d_atm_25c (snapshot-aligned)","skew_7d_atm_25c_t - skew_7d_atm_25c_{t-5td, same quote_time}"
"z_skew_7d_atm_10c","skew","7d","atm_10c","z","skew_7d_atm_10c","z_score","63-trading-day rolling z-score of skew_7d_atm_10c (snapshot-aligned)","(skew_7d_atm_10c_t - μ) / σ over last 63td at same quote_time"
"chg_d_skew_7d_atm_10c","skew","7d","atm_10c","chg_d","skew_7d_atm_10c","slope","Daily change of skew_7d_atm_10c (snapshot-aligned)","skew_7d_atm_10c_t - skew_7d_atm_10c_{t-1td, same quote_time}"
"chg_1w_skew_7d_atm_10c","skew","7d","atm_10c","chg_1w","skew_7d_atm_10c","slope","Weekly (5td) change of skew_7d_atm_10c (snapshot-aligned)","skew_7d_atm_10c_t - skew_7d_atm_10c_{t-5td, same quote_time}"
"z_skew_7d_25p_25c","skew","7d","25p_25c","z","skew_7d_25p_25c","z_score","63-trading-day rolling z-score of skew_7d_25p_25c (snapshot-aligned)","(skew_7d_25p_25c_t - μ) / σ over last 63td at same quote_time"
"chg_d_skew_7d_25p_25c","skew","7d","25p_25c","chg_d","skew_7d_25p_25c","slope","Daily change of skew_7d_25p_25c (snapshot-aligned)","skew_7d_25p_25c_t - skew_7d_25p_25c_{t-1td, same quote_time}"
"chg_1w_skew_7d_25p_25c","skew","7d","25p_25c","chg_1w","skew_7d_25p_25c","slope","Weekly (5td) change of skew_7d_25p_25c (snapshot-aligned)","skew_7d_25p_25c_t - skew_7d_25p_25c_{t-5td, same quote_time}"
"z_skew_30d_10p_25p","skew","30d","10p_25p","z","skew_30d_10p_25p","z_score","63-trading-day rolling z-score of skew_30d_10p_25p (snapshot-aligned)","(skew_30d_10p_25p_t - μ) / σ over last 63td at same quote_time"
"chg_d_skew_30d_10p_25p","skew","30d","10p_25p","chg_d","skew_30d_10p_25p","slope","Daily change of skew_30d_10p_25p (snapshot-aligned)","skew_30d_10p_25p_t - skew_30d_10p_25p_{t-1td, same quote_time}"
"chg_1w_skew_30d_10p_25p","skew","30d","10p_25p","chg_1w","skew_30d_10p_25p","slope","Weekly (5td) change of skew_30d_10p_25p (snapshot-aligned)","skew_30d_10p_25p_t - skew_30d_10p_25p_{t-5td, same quote_time}"
"z_skew_30d_25p_atm","skew","30d","25p_atm","z","skew_30d_25p_atm","z_score","63-trading-day rolling z-score of skew_30d_25p_atm (snapshot-aligned)","(skew_30d_25p_atm_t - μ) / σ over last 63td at same quote_time"
"chg_d_skew_30d_25p_atm","skew","30d","25p_atm","chg_d","skew_30d_25p_atm","slope","Daily change of skew_30d_25p_atm (snapshot-aligned)","skew_30d_25p_atm_t - skew_30d_25p_atm_{t-1td, same quote_time}"
"chg_1w_skew_30d_25p_atm","skew","30d","25p_atm","chg_1w","skew_30d_25p_atm","slope","Weekly (5td) change of skew_30d_25p_atm (snapshot-aligned)","skew_30d_25p_atm_t - skew_30d_25p_atm_{t-5td, same quote_time}"
"z_skew_30d_10p_atm","skew","30d","10p_atm","z","skew_30d_10p_atm","z_score","63-trading-day rolling z-score of skew_30d_10p_atm (snapshot-aligned)","(skew_30d_10p_atm_t - μ) / σ over last 63td at same quote_time"
"chg_d_skew_30d_10p_atm","skew","30d","10p_atm","chg_d","skew_30d_10p_atm","slope","Daily change of skew_30d_10p_atm (snapshot-aligned)","skew_30d_10p_atm_t - skew_30d_10p_atm_{t-1td, same quote_time}"
"chg_1w_skew_30d_10p_atm","skew","30d","10p_atm","chg_1w","skew_30d_10p_atm","slope","Weekly (5td) change of skew_30d_10p_atm (snapshot-aligned)","skew_30d_10p_atm_t - skew_30d_10p_atm_{t-5td, same quote_time}"
"z_skew_30d_atm_25c","skew","30d","atm_25c","z","skew_30d_atm_25c","z_score","63-trading-day rolling z-score of skew_30d_atm_25c (snapshot-aligned)","(skew_30d_atm_25c_t - μ) / σ over last 63td at same quote_time"
"chg_d_skew_30d_atm_25c","skew","30d","atm_25c","chg_d","skew_30d_atm_25c","slope","Daily change of skew_30d_atm_25c (snapshot-aligned)","skew_30d_atm_25c_t - skew_30d_atm_25c_{t-1td, same quote_time}"
"chg_1w_skew_30d_atm_25c","skew","30d","atm_25c","chg_1w","skew_30d_atm_25c","slope","Weekly (5td) change of skew_30d_atm_25c (snapshot-aligned)","skew_30d_atm_25c_t - skew_30d_atm_25c_{t-5td, same quote_time}"
"z_skew_30d_atm_10c","skew","30d","atm_10c","z","skew_30d_atm_10c","z_score","63-trading-day rolling z-score of skew_30d_atm_10c (snapshot-aligned)","(skew_30d_atm_10c_t - μ) / σ over last 63td at same quote_time"
"chg_d_skew_30d_atm_10c","skew","30d","atm_10c","chg_d","skew_30d_atm_10c","slope","Daily change of skew_30d_atm_10c (snapshot-aligned)","skew_30d_atm_10c_t - skew_30d_atm_10c_{t-1td, same quote_time}"
"chg_1w_skew_30d_atm_10c","skew","30d","atm_10c","chg_1w","skew_30d_atm_10c","slope","Weekly (5td) change of skew_30d_atm_10c (snapshot-aligned)","skew_30d_atm_10c_t - skew_30d_atm_10c_{t-5td, same quote_time}"
"z_skew_30d_25p_25c","skew","30d","25p_25c","z","skew_30d_25p_25c","z_score","63-trading-day rolling z-score of skew_30d_25p_25c (snapshot-aligned)","(skew_30d_25p_25c_t - μ) / σ over last 63td at same quote_time"
"chg_d_skew_30d_25p_25c","skew","30d","25p_25c","chg_d","skew_30d_25p_25c","slope","Daily change of skew_30d_25p_25c (snapshot-aligned)","skew_30d_25p_25c_t - skew_30d_25p_25c_{t-1td, same quote_time}"
